,BSID,LONG,LAT,X_COORD,Y_COORD,ROUTES,STOPNAME,DIR,DISTANCE,POSTAL,PID,LOCATION
0,10910.0,-105.126599,39.761968,3104975.44073,1702642.79684,32,W 32nd Ave & Routt St,W,40.0,80033,0,N
1,10911.0,-105.053605,39.762138,3125496.02597,1702797.31315,32,W 32nd Ave & Sheridan Blvd,W,65.0,80212,0,F
2,10912.0,-105.052799,39.762062,3125722.75301,1702770.74324,32,W 32nd Ave & Sheridan Blvd,E,105.0,80212,0,F
3,10913.0,-105.04256,39.762094,3128601.18633,1702796.73183,32,W 32nd Ave & Stuart St,E,65.0,80212,0,F
4,10914.0,-105.043351,39.762155,3128378.70081,1702817.83338,32,W 32nd Ave & Stuart St,W,130.0,80212,0,F
5,10915.0,-105.130992,39.761833,3103740.62891,1702588.57415,32,W 32nd Ave & Tabor Dr,E,70.0,80215,0,F
6,10916.0,-105.131167,39.761958,3103691.24589,1702633.90798,32,W 32nd Ave & Tabor Dr,W,15.0,80033,0,N
7,10917.0,-105.011533,39.762089,3137323.80841,1702840.32159,32,W 32nd Ave & Tejon St,W,75.0,80211,0,F
8,10918.0,-105.076102,39.762066,3119171.5635,1702740.79135,32,W 32nd Ave & Teller St,E,175.0,80033,0,F
9,10919.0,-105.077138,39.762154,3118880.16298,1702771.48958,32,W 32nd Ave & Teller St,W,125.0,80033,0,F
10,10920.0,-105.080247,39.76215,3118006.13566,1702765.97907,32,W 32nd Ave & Webster St,W,90.0,80033,0,N
11,10921.0,-105.046052,39.762083,3127619.50036,1702787.80051,32,W 32nd Ave & Vrain St,E,65.0,80212,0,F
12,10922.0,-105.047088,39.762146,3127328.13517,1702809.29566,32,W 32nd Ave & Vrain St,W,65.0,80212,0,F
13,10923.0,-105.080746,39.76203,3117866.05337,1702721.6191,32,W 32nd Ave & Wadsworth Blvd,E,130.0,80033,0,F
14,10924.0,-105.081936,39.762151,3117531.30486,1702764.1538,32,W 32nd Ave & Wadsworth Blvd,W,105.0,80033,0,F
15,10925.0,-105.138846,39.761826,3101532.62578,1702577.15094,32,W 32nd Ave & Wright St,E,50.0,80215,0,N
16,10926.0,-105.138548,39.761944,3101616.23221,1702620.46789,32,W 32nd Ave & Wright St,W,25.0,80033,0,N
17,10927.0,-105.050554,39.762073,3126353.8706,1702777.86485,32,W 32nd Ave & Yates St,E,75.0,80212,0,F
18,10930.0,-105.141543,39.761944,3100774.24205,1702617.1317,32,W 32nd Ave & Youngfield St,W,150.0,80033,0,N
19,10933.0,-105.015369,39.761969,3136245.62871,1702790.83381,32,W 32nd Ave & Zuni St,E,120.0,80211,0,F
20,10934.0,-105.016131,39.762095,3136031.16314,1702835.58953,32,W 32nd Ave & Zuni St,W,75.0,80211,0,F
21,10936.0,-104.93655,39.764408,3158398.45344,1703807.09683,34,Bruce Randolph Ave & Bellaire St,E,75.0,80207,0,F
22,10937.0,-104.937389,39.764521,3158162.33979,1703846.79703,34,Bruce Randolph Ave & Bellaire St,W,155.0,80207,0,F
23,10938.0,-104.93497838,39.76441165,3158840.25817,1703811.16999,34,Bruce Randolph Ave & Cherry St,E,115.0,80207,0,N
24,10939.0,-104.934953,39.764527,3158847.13062,1703853.23285,34,Bruce Randolph Ave & Cherry St,W,160.0,80207,0,F
25,10940.0,-104.955423,39.76453,3153092.62741,1703819.18162,34,Bruce Randolph Ave & Clayton St,W,180.0,80205,0,F
26,10941.0,-104.940151,39.764401,3157386.16002,1703798.28837,34,Bruce Randolph Ave & Colorado Blvd,E,90.0,80207,0,F
27,10942.0,-104.941295,39.764514,3157064.30677,1703837.47047,34,Bruce Randolph Ave & Colorado Blvd,W,120.0,80205,0,F
28,10943.0,-104.955829,39.764413,3152978.74849,1703775.87859,34,Bruce Randolph Ave & Elizabeth St,E,75.0,80205,0,F
29,10944.0,-104.953925,39.764406,3153514.01475,1703776.54054,34,Bruce Randolph Ave & Fillmore St,E,100.0,80205,0,N
30,10945.0,-104.954089,39.764526,3153467.64853,1703819.97534,34,Bruce Randolph Ave & Fillmore St,W,75.0,80205,0,F
31,10946.0,-104.927153,39.764648,3161039.57525,1703911.04158,34,34th Ave & Forest St,E,30.0,80207,0,N
32,10947.0,-104.968739,39.764563,3149349.1785,1703809.03684,34,Bruce Randolph Ave & Franklin St,W,80.0,80205,0,F
33,10948.0,-104.968644,39.764443,3149376.14046,1703765.4811,34,Bruce Randolph Ave & Franklin St,E,40.0,80205,0,N
34,10949.0,-104.943025,39.764516,3156577.96722,1703835.21263,34,Bruce Randolph Ave & Jackson St,W,75.0,80205,0,F
35,10950.0,-104.94295,39.764373,3156599.37052,1703783.25194,34,Bruce Randolph Ave & Jackson St,E,140.0,80205,0,N
36,10951.0,-104.945729,39.764411,3155818.05595,1703792.31559,34,Bruce Randolph Ave & Madison St,E,75.0,80205,0,F
37,10007.0,-105.006153,39.878638,3138605.48935,1745304.36629,19,W 100th Ave & Pecos St {1110},W,100.0,80260,0,F
